"Project","Runs","ObservedTests","FlakyTests","FlakyRatioPercent","AlwaysPass","AlwaysFailOrOther","ExitCodes","ReportDir"
"Commons-Cli[24]","3","0","0","0","0","0","0,0,0","D:\fx\jafx\chatunitest-core\target\flaky-isolated-0616-20260624-172104"
"Commons-Csv[25]","3","0","0","0","0","0","0,0,0","D:\fx\jafx\chatunitest-core\target\flaky-isolated-0616-20260624-172104"
"Commons-Lang[26]","3","0","0","0","0","0","0,0,0","D:\fx\jafx\chatunitest-core\target\flaky-isolated-0616-20260624-172104"
"Gson[27]","3","0","0","0","0","0","0,0,0","D:\fx\jafx\chatunitest-core\target\flaky-isolated-0616-20260624-172104"
