GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chatunitest-core,zju.cst.aces.runner,TestClassRunner.TestResult,32,0,0,0,10,0,2,0,2,0
chatunitest-core,zju.cst.aces.runner,TestClassCompiler,411,0,16,0,91,0,12,0,4,0
chatunitest-core,zju.cst.aces.runner,AnalyzeResultStorage.ClassDependencyInfo,14,0,0,0,6,0,4,0,4,0
chatunitest-core,zju.cst.aces.runner,ValiFixTextCoreDemo4.AnalysisInfo,134,0,12,0,33,0,19,0,13,0
chatunitest-core,zju.cst.aces.runner,ValiFixTextCoreDemo4.FixScope,34,0,0,0,4,0,1,0,1,0
chatunitest-core,zju.cst.aces.runner,ValiFixTextCoreDemo3.AnalysisInfo,134,0,12,0,33,0,19,0,13,0
chatunitest-core,zju.cst.aces.runner,ValiFixTextCoreDemo5.ApiResponse,15,0,0,0,6,0,3,0,3,0
chatunitest-core,zju.cst.aces.runner,FixTestCode.SpotError,207,0,68,0,39,0,39,0,4,0
chatunitest-core,zju.cst.aces.runner,ValiFixTextCoreDemo4.ExtendedValidationResult,124,0,20,0,27,0,21,0,11,0
chatunitest-core,zju.cst.aces.runner,ReportBasedTestRunner.ClassComplexityInfo,99,0,8,0,16,0,17,0,13,0
chatunitest-core,zju.cst.aces.runner,CoverageEvaluator,621,0,38,0,107,0,26,0,7,0
chatunitest-core,slicing.arcs.cfg,ControlFlowArc.NonExecutable,3,0,0,0,1,0,1,0,1,0
chatunitest-core,slicing.arcs.cfg,ControlFlowArc,3,0,0,0,1,0,1,0,1,0
chatunitest-core,slicing.graphs.sdg,SDG.Builder,174,0,6,0,42,0,17,0,14,0
chatunitest-core,slicing.graphs.sdg,InterproceduralActionFinder,412,0,44,0,69,0,43,0,21,0
chatunitest-core,slicing.graphs.sdg,InterproceduralUsageFinder,316,0,44,0,62,0,35,0,13,0
chatunitest-core,slicing.graphs.sdg,OutNodeVariableVisitor,58,0,0,0,26,0,18,0,18,0
chatunitest-core,slicing.graphs.sdg,SDG,146,0,8,0,33,0,17,0,13,0
chatunitest-core,slicing.graphs.sdg,SummaryArcAnalyzer,215,0,14,0,37,0,21,0,14,0
chatunitest-core,slicing.graphs.sdg,InterproceduralActionFinder.ParameterFieldSorter,69,0,16,0,13,0,10,0,2,0
chatunitest-core,slicing.graphs.sdg,CallConnector,284,0,4,0,61,0,20,0,18,0
chatunitest-core,slicing.graphs.sdg,InterproceduralActionFinder.StoredAction,47,0,8,0,12,0,7,0,3,0
chatunitest-core,slicing.graphs.sdg,SDG.Builder.new VoidVisitorAdapter() {...},108,0,18,0,23,0,12,0,3,0
chatunitest-core,slicing.graphs.sdg,InterproceduralDefinitionFinder,369,0,34,0,66,0,31,0,14,0
chatunitest-core,slicing.graphs.sdg,AbstractSummaryArcAnalyzer,237,0,22,0,46,0,19,0,8,0
chatunitest-core,slicing.graphs.exceptionsensitive,ExceptionSensitiveCallConnector,373,0,38,0,75,0,38,0,19,0
chatunitest-core,slicing.graphs.exceptionsensitive,ExceptionSourceSearcher,60,0,2,0,20,0,8,0,7,0
chatunitest-core,slicing.graphs.exceptionsensitive,ESPDG.Builder,20,0,0,0,6,0,2,0,2,0
chatunitest-core,slicing.graphs.exceptionsensitive,ConditionalControlDependencyBuilder,342,0,50,0,70,0,38,0,13,0
chatunitest-core,slicing.graphs.exceptionsensitive,ESPDG,33,0,0,0,9,0,5,0,5,0
chatunitest-core,slicing.graphs.exceptionsensitive,ESCFG.ExceptionSource,118,0,8,0,18,0,10,0,6,0
chatunitest-core,slicing.graphs.exceptionsensitive,AllenSDG,8,0,0,0,2,0,2,0,2,0
chatunitest-core,slicing.graphs.exceptionsensitive,ExceptionSourceSearcher.FoundException,11,0,0,0,5,0,2,0,2,0
chatunitest-core,slicing.graphs.exceptionsensitive,ESCFG.Builder,971,0,54,0,202,0,58,0,31,0
chatunitest-core,slicing.graphs.exceptionsensitive,ESSDG.Builder,35,0,2,0,6,0,6,0,5,0
chatunitest-core,slicing.graphs.exceptionsensitive,ESCFG,31,0,0,0,8,0,4,0,4,0
chatunitest-core,slicing.graphs.exceptionsensitive,ESSDG,22,0,0,0,5,0,4,0,4,0
chatunitest-core,zju.cst.aces.api.impl.obfuscator.util,SymbolAnalyzer,353,0,38,0,63,0,29,0,10,0
chatunitest-core,zju.cst.aces.api.impl.obfuscator.util,ASMParser,204,0,8,0,41,0,12,0,8,0
chatunitest-core,slicing.arcs.sdg,SummaryArc,3,0,0,0,1,0,1,0,1,0
chatunitest-core,slicing.arcs.sdg,InterproceduralArc,3,0,0,0,2,0,1,0,1,0
chatunitest-core,slicing.arcs.sdg,ParameterInOutArc.ObjectFlow,5,0,0,0,2,0,2,0,2,0
chatunitest-core,slicing.arcs.sdg,CallArc,7,0,0,0,3,0,3,0,3,0
chatunitest-core,slicing.arcs.sdg,ReturnArc,7,0,0,0,3,0,3,0,3,0
chatunitest-core,slicing.arcs.sdg,ParameterInOutArc,78,0,22,0,13,0,15,0,4,0
chatunitest-core,zju.cst.aces.api.phase,PhaseImpl.PhaseType,74,0,0,0,8,0,1,0,1,0
chatunitest-core,zju.cst.aces.api.phase,PhaseImpl,121,0,8,0,29,0,19,0,12,0
chatunitest-core,slicing.graphs.cfg,CFG,345,0,40,0,56,0,40,0,20,0
chatunitest-core,slicing.graphs.cfg,CFGBuilder,945,0,46,0,191,0,59,0,36,0
chatunitest-core,gson.internal.bind.util,ISO8601Utils,54,670,22,69,6,143,21,34,0,9
chatunitest-core,lang3.stream,LangCollectors.SimpleCollector,0,33,0,0,0,12,0,6,0,6
chatunitest-core,lang3.stream,LangCollectors,0,53,0,0,0,5,0,7,0,7
chatunitest-core,lang3.stream,IntStreams,0,18,0,2,0,5,0,5,0,4
chatunitest-core,help,TextHelpAppendable,920,0,86,0,187,0,68,0,25,0
chatunitest-core,help,OptionFormatter,364,0,30,0,64,0,33,0,18,0
chatunitest-core,help,OptionFormatter.Builder,189,0,0,0,43,0,14,0,14,0
chatunitest-core,help,Util,137,0,32,0,27,0,24,0,8,0
chatunitest-core,help,FilterHelpAppendable,29,0,0,0,9,0,4,0,4,0
chatunitest-core,help,HelpFormatter,159,0,10,0,35,0,8,0,3,0
chatunitest-core,help,HelpAppendable,13,0,0,0,4,0,2,0,2,0
chatunitest-core,help,TableDefinition.new TableDefinition() {...},27,0,0,0,5,0,5,0,5,0
chatunitest-core,help,TextStyle,222,0,20,0,47,0,21,0,11,0
chatunitest-core,help,TextStyle.Builder,88,0,0,0,29,0,14,0,14,0
chatunitest-core,help,HelpFormatter.Builder,16,0,0,0,6,0,3,0,3,0
chatunitest-core,help,TableDefinition,8,0,0,0,1,0,1,0,1,0
chatunitest-core,help,AbstractHelpFormatter.Builder,64,0,4,0,21,0,12,0,10,0
chatunitest-core,help,TextStyle.Alignment,34,0,0,0,4,0,1,0,1,0
chatunitest-core,help,AbstractHelpFormatter,333,0,26,0,75,0,37,0,24,0
chatunitest-core,slicing.slicing,MultiVariableCriterion,252,0,24,0,51,0,27,0,15,0
chatunitest-core,slicing.slicing,BranchLineSlicingCriterion,193,0,12,0,37,0,17,0,11,0
chatunitest-core,slicing.slicing,FileLineSlicingCriterion,85,0,10,0,15,0,9,0,4,0
chatunitest-core,slicing.slicing,Slice,205,0,18,0,39,0,20,0,11,0
chatunitest-core,slicing.slicing,JSysDGSlicingAlgorithm,52,0,16,0,9,0,11,0,3,0
chatunitest-core,slicing.slicing,OriginalJSysDGSlicingAlgorithm,25,0,10,0,4,0,7,0,2,0
chatunitest-core,slicing.slicing,ExceptionSensitiveSlicingAlgorithm,363,0,48,0,63,0,38,0,14,0
chatunitest-core,slicing.slicing,PseudoPredicateSlicingAlgorithm,79,0,18,0,13,0,16,0,7,0
chatunitest-core,slicing.slicing,ClassFileLineCriterion,63,0,4,0,12,0,7,0,5,0
chatunitest-core,slicing.slicing,ClassicSlicingAlgorithm,113,0,10,0,30,0,12,0,7,0
chatunitest-core,slicing.slicing,AllenSlicingAlgorithm,22,0,8,0,5,0,6,0,2,0
chatunitest-core,slicing.slicing,SlicePruneVisitor,402,0,60,0,74,0,55,0,25,0
chatunitest-core,slicing.slicing,LineNumberCriterion,213,0,20,0,40,0,21,0,11,0
chatunitest-core,slicing.nodes.io,FormalIONode,58,0,2,0,10,0,7,0,6,0
chatunitest-core,slicing.nodes.io,MethodExitNode,8,0,0,0,2,0,1,0,1,0
chatunitest-core,slicing.nodes.io,CallNode.Return,59,0,6,0,14,0,8,0,5,0
chatunitest-core,slicing.nodes.io,ActualIONode,119,0,16,0,15,0,16,0,8,0
chatunitest-core,slicing.nodes.io,OutputNode,31,0,4,0,7,0,4,0,2,0
chatunitest-core,slicing.nodes.io,CallNode,84,0,6,0,15,0,9,0,6,0
chatunitest-core,slicing.nodes.io,IONode,72,0,10,0,10,0,11,0,6,0
chatunitest-core,zju.cst.aces.api.config,Config.ConfigBuilder,1311,0,54,0,322,0,88,0,61,0
chatunitest-core,zju.cst.aces.api.config,Config,385,0,4,0,47,0,6,0,4,0
chatunitest-core,zju.cst.aces.api.config,ModelConfig,27,0,0,0,8,0,1,0,1,0
chatunitest-core,zju.cst.aces.api.config,Model,94,0,4,0,20,0,7,0,5,0
chatunitest-core,zju.cst.aces.api.config,ModelConfig.Builder,57,0,0,0,20,0,8,0,8,0
chatunitest-core,codeing,Add,0,98,0,24,0,18,0,17,0,5
chatunitest-core,codeing,AddExample,0,7,0,0,0,2,0,2,0,2
chatunitest-core,codeing,Calculator,0,15,0,0,0,4,0,4,0,4
chatunitest-core,codeing,Example,0,7,0,0,0,2,0,2,0,2
chatunitest-core,codeing,Fix,0,22,0,2,0,4,0,5,0,4
chatunitest-core,slicing.graphs,ExpressionObjectTreeFinder,383,0,56,0,77,0,45,0,17,0
chatunitest-core,slicing.graphs,ClassGraph.new VoidVisitorAdapter() {...},100,0,6,0,21,0,10,0,7,0
chatunitest-core,slicing.graphs,ClassGraph.new VoidVisitorAdapter() {...},187,0,6,0,30,0,10,0,7,0
chatunitest-core,slicing.graphs,ClassGraph.Vertex,81,0,12,0,15,0,11,0,5,0
chatunitest-core,slicing.graphs,CallGraph.new VoidVisitorAdapter() {...},32,0,0,0,7,0,3,0,3,0
chatunitest-core,slicing.graphs,CallGraph.new VoidVisitorAdapter() {...},407,0,34,0,82,0,36,0,19,0
chatunitest-core,slicing.graphs,CallGraph.Edge,79,0,8,0,15,0,11,0,7,0
chatunitest-core,slicing.graphs,ClassGraph.ClassArc.Extends,3,0,0,0,1,0,1,0,1,0
chatunitest-core,slicing.graphs,ClassGraph.ClassArc.Implements,3,0,0,0,1,0,1,0,1,0
chatunitest-core,slicing.graphs,CallGraph,220,0,8,0,48,0,21,0,17,0
chatunitest-core,slicing.graphs,BackwardDataFlowAnalysis,129,0,8,0,25,0,9,0,5,0
chatunitest-core,slicing.graphs,ExpressionObjectTreeFinder.new VoidVisitorAdapter() {...},489,0,44,0,93,0,51,0,29,0
chatunitest-core,slicing.graphs,GraphNodeContentVisitor,177,0,0,0,51,0,35,0,35,0
chatunitest-core,slicing.graphs,ClassGraph.ClassArc.Member,3,0,0,0,1,0,1,0,1,0
chatunitest-core,slicing.graphs,ClassGraph,1022,0,92,0,205,0,103,0,57,0
chatunitest-core,slicing.graphs,GraphWithRootNode,89,0,12,0,20,0,14,0,8,0
chatunitest-core,slicing.graphs,Graph,98,0,8,0,21,0,11,0,7,0
chatunitest-core,slicing.graphs,CallGraph.Vertex,94,0,18,0,16,0,16,0,7,0
chatunitest-core,slicing.graphs,ClassGraph.ClassArc,3,0,0,0,1,0,1,0,1,0
chatunitest-core,slicing.graphs.jsysdg,OriginalJSysPDG,32,0,0,0,9,0,7,0,7,0
chatunitest-core,slicing.graphs.jsysdg,JSysDG.Builder,317,0,34,0,59,0,29,0,12,0
chatunitest-core,slicing.graphs.jsysdg,SummaryArcAnalyzer,193,0,24,0,35,0,24,0,12,0
chatunitest-core,slicing.graphs.jsysdg,JSysCFG.Builder,329,0,28,0,77,0,34,0,20,0
chatunitest-core,slicing.graphs.jsysdg,OriginalJSysPDG.Builder,157,0,20,0,31,0,20,0,10,0
chatunitest-core,slicing.graphs.jsysdg,JSysPDG.Builder,561,0,84,0,104,0,66,0,24,0
chatunitest-core,slicing.graphs.jsysdg,JSysCFG.Builder.new ModifierVisitor() {...},18,0,0,0,3,0,2,0,2,0
chatunitest-core,slicing.graphs.jsysdg,JSysDG.Builder.new ModifierVisitor() {...},49,0,6,0,7,0,6,0,3,0
chatunitest-core,slicing.graphs.jsysdg,JSysDG,13,0,0,0,3,0,3,0,3,0
chatunitest-core,slicing.graphs.jsysdg,JSysCallConnector,220,0,30,0,38,0,26,0,11,0
chatunitest-core,slicing.graphs.jsysdg,OriginalJSysDG,13,0,0,0,3,0,3,0,3,0
chatunitest-core,slicing.graphs.jsysdg,JSysCFG,419,0,60,0,75,0,50,0,20,0
chatunitest-core,slicing.graphs.jsysdg,OriginalJSysDG.Builder,22,0,2,0,3,0,4,0,3,0
chatunitest-core,slicing.graphs.jsysdg,JSysPDG,211,0,14,0,35,0,20,0,13,0
chatunitest-core,zju.cst.aces.api.impl.obfuscator.frame,Symbol,40,0,6,0,11,0,5,0,2,0
chatunitest-core,zju.cst.aces.api.impl.obfuscator.frame,SymbolFrame,688,0,62,0,91,0,62,0,31,0
chatunitest-core,zju.cst.aces.util.chattester,TesterCompiler,247,0,14,0,41,0,13,0,6,0
chatunitest-core,zju.cst.aces.util.chattester,TesterValidator,55,0,2,0,12,0,7,0,6,0
chatunitest-core,zju.cst.aces.util.chattester,TesterCompiler.new SimpleJavaFileObject() {...},13,0,0,0,2,0,2,0,2,0
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},41,3,2,0,12,1,5,1,4,1
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},41,3,2,0,12,1,5,1,4,1
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},22,3,2,0,8,1,5,1,4,1
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},27,3,4,0,11,1,6,1,4,1
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},25,11,3,1,10,3,5,2,3,2
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},7,24,1,3,3,9,3,4,2,3
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},50,3,6,0,12,1,7,1,4,1
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},15,3,0,0,5,1,4,1,4,1
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},77,6,6,0,19,1,7,1,4,1
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},78,3,6,0,21,1,7,1,4,1
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapterFactory() {...},0,37,0,2,0,3,0,4,0,3
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapterFactory() {...},19,0,2,0,2,0,3,0,2,0
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},78,3,16,0,23,1,12,1,4,1
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},46,3,4,0,12,1,6,1,4,1
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},27,3,4,0,9,1,6,1,4,1
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapters.IntegerFieldsTypeAdapter() {...},76,4,0,0,16,1,4,1,4,1
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},34,3,0,0,9,1,4,1,4,1
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},27,3,4,0,8,1,6,1,4,1
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},27,3,4,0,8,1,6,1,4,1
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},41,3,6,0,11,1,7,1,4,1
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},35,3,6,0,9,1,7,1,4,1
chatunitest-core,gson.internal.bind,ReflectiveTypeAdapterFactory.FieldReflectionAdapter,3,18,0,0,2,7,2,4,2,4
chatunitest-core,gson.internal.bind,JsonTreeWriter,66,322,18,38,14,74,15,34,0,21
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapterFactory() {...},3,49,2,2,0,6,2,3,0,3
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapterFactory() {...},0,52,0,4,0,6,0,5,0,3
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapterFactory() {...},6,37,1,1,1,5,1,3,0,3
chatunitest-core,gson.internal.bind,TreeTypeAdapter.SingleTypeFactory,15,82,8,10,1,17,6,5,0,2
chatunitest-core,gson.internal.bind,JsonAdapterAnnotationTypeAdapterFactory.DummyTypeAdapterFactory,5,0,0,0,1,0,1,0,1,0
chatunitest-core,gson.internal.bind,ArrayTypeAdapter,3,117,0,12,2,32,2,10,2,4
chatunitest-core,gson.internal.bind,JavaTimeTypeAdapters,84,139,2,0,21,13,6,3,5,3
chatunitest-core,gson.internal.bind,DefaultDateTypeAdapter.DateType,0,36,0,0,0,7,0,5,0,5
chatunitest-core,gson.internal.bind,JsonTreeWriter.new Writer() {...},12,3,0,0,3,1,3,1,3,1
chatunitest-core,gson.internal.bind,ReflectiveTypeAdapterFactory.new ReflectiveTypeAdapterFactory.BoundField() {...},100,71,13,7,19,15,10,4,1,3
chatunitest-core,gson.internal.bind,ReflectiveTypeAdapterFactory.new TypeAdapter() {...},9,10,0,0,5,3,4,2,4,2
chatunitest-core,gson.internal.bind,TreeTypeAdapter,9,151,2,16,3,34,4,16,2,9
chatunitest-core,gson.internal.bind,SerializationDelegatingTypeAdapter,0,3,0,0,0,1,0,1,0,1
chatunitest-core,gson.internal.bind,DefaultDateTypeAdapter.DateType.new DefaultDateTypeAdapter.DateType() {...},0,6,0,0,0,2,0,2,0,2
chatunitest-core,gson.internal.bind,ReflectiveTypeAdapterFactory.RecordAdapter,223,0,8,0,46,0,12,0,8,0
chatunitest-core,gson.internal.bind,CollectionTypeAdapterFactory.Adapter,3,69,0,8,2,24,2,7,2,3
chatunitest-core,gson.internal.bind,EnumTypeAdapter,197,5,16,0,39,1,14,1,6,1
chatunitest-core,gson.internal.bind,ReflectiveTypeAdapterFactory,216,319,38,38,39,78,33,13,2,6
chatunitest-core,gson.internal.bind,MapTypeAdapterFactory.Adapter,31,295,4,36,5,77,6,20,2,4
chatunitest-core,gson.internal.bind,JsonElementTypeAdapter,20,263,3,43,4,66,5,27,2,5
chatunitest-core,gson.internal.bind,ReflectiveTypeAdapterFactory.FieldsData,0,16,0,0,0,5,0,2,0,2
chatunitest-core,gson.internal.bind,CollectionTypeAdapterFactory,0,50,0,2,0,14,0,3,0,2
chatunitest-core,gson.internal.bind,TypeAdapters.FloatAdapter,44,6,8,0,15,3,8,1,4,1
chatunitest-core,gson.internal.bind,NumberTypeAdapter,3,67,0,5,2,19,2,9,2,6
chatunitest-core,gson.internal.bind,EnumTypeAdapter.new TypeAdapterFactory() {...},17,12,5,1,4,4,3,2,0,2
chatunitest-core,gson.internal.bind,JsonTreeReader.new Reader() {...},8,3,0,0,2,1,2,1,2,1
chatunitest-core,gson.internal.bind,DefaultDateTypeAdapter.new TypeAdapterFactory() {...},0,19,0,2,0,5,0,4,0,3
chatunitest-core,gson.internal.bind,ArrayTypeAdapter.new TypeAdapterFactory() {...},0,36,1,5,0,10,1,4,0,2
chatunitest-core,gson.internal.bind,JsonTreeReader,243,641,49,66,31,150,39,49,0,29
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},34,3,0,0,7,1,4,1,4,1
chatunitest-core,gson.internal.bind,TypeAdapters.33.new TypeAdapter() {...},59,0,4,0,12,0,7,0,5,0
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},61,3,8,0,17,1,8,1,4,1
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},17,20,2,2,7,6,4,3,2,3
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},22,3,0,0,7,1,4,1,4,1
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},11,18,0,0,4,3,3,2,3,2
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},118,3,15,0,32,1,12,1,4,1
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},25,8,4,0,9,3,5,2,3,2
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},25,3,4,0,8,1,6,1,4,1
chatunitest-core,gson.internal.bind,TypeAdapters.new TypeAdapter() {...},61,3,8,0,17,1,8,1,4,1
chatunitest-core,gson.internal.bind,JavaTimeTypeAdapters.new TypeAdapters.IntegerFieldsTypeAdapter() {...},38,4,0,0,4,1,4,1,4,1
chatunitest-core,gson.internal.bind,JavaTimeTypeAdapters.new TypeAdapter() {...},91,0,5,0,26,0,8,0,5,0
chatunitest-core,gson.internal.bind,JavaTimeTypeAdapters.new TypeAdapter() {...},91,0,5,0,26,0,8,0,5,0
chatunitest-core,gson.internal.bind,JavaTimeTypeAdapters.new TypeAdapters.IntegerFieldsTypeAdapter() {...},28,4,0,0,4,1,4,1,4,1
chatunitest-core,gson.internal.bind,JavaTimeTypeAdapters.new TypeAdapter() {...},91,0,5,0,25,0,8,0,5,0
chatunitest-core,gson.internal.bind,JavaTimeTypeAdapters.new TypeAdapters.IntegerFieldsTypeAdapter() {...},48,4,0,0,9,1,4,1,4,1
chatunitest-core,gson.internal.bind,JavaTimeTypeAdapters.new TypeAdapters.IntegerFieldsTypeAdapter() {...},38,4,0,0,5,1,4,1,4,1
chatunitest-core,gson.internal.bind,JavaTimeTypeAdapters.new TypeAdapterFactory() {...},90,13,29,1,29,4,15,2,0,2
chatunitest-core,gson.internal.bind,JavaTimeTypeAdapters.new TypeAdapter() {...},124,0,8,0,35,0,10,0,5,0
chatunitest-core,gson.internal.bind,JavaTimeTypeAdapters.new TypeAdapter() {...},99,3,11,0,31,1,10,1,4,1
chatunitest-core,gson.internal.bind,JavaTimeTypeAdapters.new TypeAdapters.IntegerFieldsTypeAdapter() {...},28,4,0,0,4,1,4,1,4,1
chatunitest-core,gson.internal.bind,JavaTimeTypeAdapters.new TypeAdapters.IntegerFieldsTypeAdapter() {...},18,4,0,0,4,1,4,1,4,1
chatunitest-core,gson.internal.bind,NumberTypeAdapter.new TypeAdapterFactory() {...},0,15,0,2,0,2,0,3,0,2
chatunitest-core,gson.internal.bind,ObjectTypeAdapter,10,193,1,31,5,59,3,25,2,8
chatunitest-core,gson.internal.bind,JsonAdapterAnnotationTypeAdapterFactory,96,144,21,15,22,37,14,12,0,8
chatunitest-core,gson.internal.bind,TypeAdapters,56,322,6,0,12,92,7,8,4,8
chatunitest-core,gson.internal.bind,JavaTimeTypeAdapters.new TypeAdapters.IntegerFieldsTypeAdapter() {...},25,4,0,0,4,1,4,1,4,1
chatunitest-core,gson.internal.bind,JavaTimeTypeAdapters.new TypeAdapters.IntegerFieldsTypeAdapter() {...},25,4,0,0,4,1,4,1,4,1
chatunitest-core,gson.internal.bind,DefaultDateTypeAdapter,23,205,4,10,4,45,6,10,2,7
chatunitest-core,gson.internal.bind,TypeAdapterRuntimeTypeWrapper,30,59,7,9,13,18,7,8,3,4
chatunitest-core,gson.internal.bind,ReflectiveTypeAdapterFactory.BoundField,0,13,0,0,0,5,0,1,0,1
chatunitest-core,gson.internal.bind,ObjectTypeAdapter.new TypeAdapterFactory() {...},0,20,0,2,0,4,0,3,0,2
chatunitest-core,gson.internal.bind,TreeTypeAdapter.GsonContextImpl,20,6,0,0,3,1,3,1,3,1
chatunitest-core,gson.internal.bind,TypeAdapters.IntegerFieldsTypeAdapter,84,7,10,0,24,3,7,1,2,1
chatunitest-core,gson.internal.bind,ReflectiveTypeAdapterFactory.Adapter,21,76,2,8,9,26,2,6,0,3
chatunitest-core,gson.internal.bind,TypeAdapters.DoubleAdapter,21,19,4,2,9,8,6,2,3,2
chatunitest-core,gson.internal.bind,MapTypeAdapterFactory,2,86,2,4,1,21,2,4,0,3
chatunitest-core,cli.help,HelpAppendable,0,13,0,0,0,4,0,2,0,2
chatunitest-core,cli.help,AbstractHelpFormatter,24,309,5,21,5,70,6,31,2,22
chatunitest-core,cli.help,AbstractHelpFormatter.Builder,0,64,0,4,0,21,0,12,0,10
chatunitest-core,cli.help,OptionFormatter,84,280,11,19,16,48,10,23,3,15
chatunitest-core,cli.help,OptionFormatter.Builder,8,181,0,0,2,41,1,13,1,13
chatunitest-core,cli.help,TextStyle.Builder,0,88,0,0,0,29,0,14,0,14
chatunitest-core,cli.help,Util,39,98,7,25,5,22,7,17,1,7
chatunitest-core,cli.help,HelpFormatter,65,94,7,3,12,23,5,3,0,3
chatunitest-core,cli.help,TextHelpAppendable,133,787,23,63,22,165,20,48,3,22
chatunitest-core,cli.help,FilterHelpAppendable,0,29,0,0,0,9,0,4,0,4
chatunitest-core,cli.help,TextStyle,3,219,2,18,0,47,2,19,0,11
chatunitest-core,cli.help,TableDefinition,0,8,0,0,0,1,0,1,0,1
chatunitest-core,cli.help,TableDefinition.new TableDefinition() {...},0,27,0,0,0,5,0,5,0,5
chatunitest-core,cli.help,TextStyle.Alignment,0,34,0,0,0,4,0,1,0,1
chatunitest-core,cli.help,HelpFormatter.Builder,5,11,0,0,2,4,1,2,1,2
chatunitest-core,zju.cst.aces.dto,PromptInfo,260,0,8,0,55,0,12,0,8,0
chatunitest-core,zju.cst.aces.dto,TestSkeleton,166,0,2,0,30,0,10,0,9,0
chatunitest-core,zju.cst.aces.dto,ExampleUsage,90,0,6,0,20,0,8,0,5,0
chatunitest-core,zju.cst.aces.dto,MethodExampleMap,72,0,0,0,14,0,7,0,7,0
chatunitest-core,zju.cst.aces.dto,OCM.OCC,84,0,14,0,14,0,10,0,3,0
chatunitest-core,zju.cst.aces.dto,TestMessage.ErrorType,34,0,0,0,4,0,1,0,1,0
chatunitest-core,zju.cst.aces.dto,OCM.LengthComparator,41,0,6,0,11,0,5,0,2,0
chatunitest-core,zju.cst.aces.dto,MethodInfo,33,0,0,0,12,0,1,0,1,0
chatunitest-core,zju.cst.aces.dto,ClassInfo,187,0,6,0,51,0,7,0,4,0
chatunitest-core,zju.cst.aces.dto,RoundRecord,13,0,0,0,6,0,3,0,3,0
chatunitest-core,zju.cst.aces.dto,OCM,42,0,0,0,8,0,4,0,4,0
chatunitest-core,zju.cst.aces.dto,ChatMessage,21,0,0,0,3,0,3,0,3,0
chatunitest-core,zju.cst.aces.dto,MethodExampleMap.LengthComparator,41,0,6,0,11,0,5,0,2,0
chatunitest-core,zju.cst.aces.dto,ChatResponse,59,0,14,0,10,0,9,0,2,0
chatunitest-core,zju.cst.aces.dto,MethodExampleMap.MEC,84,0,14,0,14,0,10,0,3,0
chatunitest-core,zju.cst.aces.dto,ValidationRecord,17,0,0,0,7,0,5,0,5,0
chatunitest-core,zju.cst.aces.dto,ChatMessage.Role,37,0,0,0,4,0,1,0,1,0
chatunitest-core,gson,FieldNamingPolicy.new FieldNamingPolicy() {...},7,6,0,0,1,1,1,1,1,1
chatunitest-core,gson,FieldNamingPolicy.new FieldNamingPolicy() {...},7,6,0,0,1,1,1,1,1,1
chatunitest-core,gson,FieldNamingPolicy.new FieldNamingPolicy() {...},7,6,0,0,1,1,1,1,1,1
